Summary,Text,Score,target,prediction
Pleases picky cat!...for awhile.,"My picky cat loves these so although they seem a little pricey, I will continue to buy them.  She is so hard to please and it makes meal times much less frustrating when she doesn't sniff and walk away.  I only wish it had the vitamins for a complete meal.  Because of that I only give them to her a couple times a week.  Otherwise, I think she would love these everyday!<br />UPDATE 6-21-2012 Mabel has been eating these but all of a sudden they are making her sick.  Not sure exactly what to think but I won't be serving them anymore.",2,0,1
Bit of an aftertaste,"I can taste the sugar substitute in this quite strongly, but not enough to disgust me. I've tasted better, but seeing as it's not made by a barista and only takes 5 seconds to produce, I'd say it's not bad. I was able to drink the whole cup, and that's good enough for me. However, if the fake sugar makes you sick, I'd stay away from this. Let's just say it's not organic or homemade, which it's not claiming to be.",4,1,0
What A Bad Trip!,"I downed a bottle of this in about two minutes, and man was I glad that I tried this at home. It gave me a feeling within minutes like I was in the Twilight Zone or some horrible nightmare. Like the walls were moving farther and farther away. This only lasted for about ten minutes then I actually started to feel stoned. It was like I smoked some illegal green herb and did a few shots of espresso on top of it. It was very nice for about an hour. Then the terrible part happened, the crash! It felt like I had a few glasses of wine and then took a short nap like a mild hangover. If you want to try it, try it at home! I am not messing with this stuff again.",2,0,1
PUMPKIN SPICE K-CUPS,"I was disappointed in this purchase. Both my husband and I couldn't taste any difference between this and regular coffee. I expected it to have a tad more 'flavor' to it of spice. I won't purchase it again. It was, however ,packaged well and shipped promptly.",5,1,0
Not very thick,"This honey is very similar to regular clover honey. I thought it would be thick like rata honey. It is not, it is translucent. Taste is similar to clover honey as well, just a slight tinge of something different. I believe this honey is mostly hype. I find rata honey to have superior taste and consistency. I like fireweed honey more as well for my less viscous honey indulgences.",2,0,1
"Annie Chun's Noodle Bowl Teriyaki  - Pain, much pain!!!","I had this for the first time today and I am in so much pain.  My mouth, throat, and stomach feel like I am on fire.  I LOVE spicy food, but I feel like I have been burned clean through with this dish.<br /><br />I will never, NEVER, eat this again.  Could this be poison?",1,0,1
great product but extremely overpriced,I LOVE the product and was hoping to buy it buy the case here but the price is crazy. Im not going to pay anywhere near $35 for a case of 12 when I can buy them at my grocery store for a $1.25 each! That make this DOUBLE the price. Not a chance. Lower your price to a realistic point and maybe Ill purchase from you.<br /><br />  ***UPDATE***<br />  LOcal price is about $2 on average now so these are quite as overpriced anymore but not still not enough of a deal to buy here if you can find locally.,5,1,0
My buddy loved it until he threw it all back up...,"my havanese absolutely loved this, but he spent the night throwing it back up. if you have an excited chewer who shallows chunks of it whole, this may not be a good treat for them.",1,0,1
"Okay, but not outstanding","I was expecting a deep, rich dark blend, but found that this was not more robust than the dark blend from Senseo.  I think that I may have to go to make my own pods to really get what I am looking for.  Not bad if you like medium strength coffee though.",4,1,0
It's watermelon.,"Watermelon Jolly Ranchers.  Seriously, how can you go wrong with a bulk package of these?  This was a double pack, two, 2 lbs boxes (320 count total), and will last months.  Absolutely nothing wrong with that.",5,1,0
Read the instructions,"The first time I ate these noodles, I was quite disappointed.  They tasted terrible, and I could not see how they amassed such great reviews.  The second time I ate these noodles, I read the instructions on the package and realized I had made them wrong.<br /><br />These were meant to be eaten like a pasta; not like a soup as I had incorrectly assumed.  If you get these, don't make the same mistake I did in preparing them like a traditional ramen noodle bowl.  Drain the noodles from the water, toss them dry with the flavoring packets and some vegetables thrown in, and you'll be set for a delicious meal.<br /><br />When made correctly, these noodles are awesome.",5,1,0
Disappointed,"My daughter buys this brand locally.... The only difference is its more expensive and its boxed....Or that was what I assumed...This  product is not washed and has the husk or outer shell still on it, and you must wash and rinse it multiple times to get that outer shell off of the grain.....Consequently I have cooked it a couple of times, assuming that I had properly washed and rinsed the grain, and had bad results....Future purchases will be from local market, even though Its more expensive....At least its washed and cooks perfectly every time.....",2,0,1
Worthless product,"I paid an outrageous price ($1.49) for this product at a pet store.  It is made far too rigidly to work on the smallest size cans.  Once it is on the can, it is impossible for me to remove.  I enlisted my husband's help and even he has trouble getting it off.  I was given a FREE can cover at another pet store.  It is a softer plastic and works much better.  If you use the smallest size cans, forget about this one!",1,0,1
Did I just get a lemon?,"I researched every available baby food maker on amazon.com and this one seemed to be the best bang for the buck. It steams and then purees the food in one fell swoop.<br /><br />Pros:<br />-Steams quickly and throughly, as long as food is cut into small chunks.<br />-Has a steam and puree setting, so little handling or work on your part until the food is ready to eat. However, the instructions do suggest that you first drain the container when cooking foods that have a high water content.<br />-Makes enough for a new eater to have food for a week. You won't be spending all your time making baby food, because who has time for that?<br />-Fruits and vegetables are blended to a smooth consistency, great for new eaters.<br /><br />Cons:<br />-Removal of food and clean-up is a pain, because the blades do not come off easily. Blades slip onto the top of the container, and food and water can slip down the opening once the blades are removed.<br />-Water gets into the drive shaft while steaming, and I am pretty sure the instructions said not to immerse the drive shaft in water. Not sure how this will affect future functioning.<br />-Machine seems to run out of water for steaming pretty quickly, sometimes in the middle of steaming.<br />-You must purchase a separate insert to steam grains. I tried cooking and pureeing oatmeal on the steam & puree setting, and had to add water several times, and the consistency was rough. The instructions do not tell you how to go about cooking grains so I am assuming the insert comes with those instructions.<br /><br />However, I am returning this item because the blades have started to chip, the stainless steel on the lid is starting to rust, and the plastic handle has broken. This is all after only three uses. So, I am unsure if I will be ordering a replacement or if I will be ordering the Beaba Babycook Baby Food Maker.",2,0,1
eh,"These things are alright, honestly try them for yourself, i have a pretty overdeveloped palette when it comes to asian food. these things are missing something, however, i live in a dorm so there's probably something you could chop up and throw in there to greatly improve them that i don't have the means to add. like some nice mushrooms or something.",2,0,1
OATMEAL and Lamb,"Lamb and rice formula was awesome, used it for years without any doggy digestive problems.  The photo and description on Amazon are wrong now though.  Amazon is currently shipping out the new OATMEAL and Lamb formula which my dog cannot eat because of digestive issues with oatmeal.",1,0,1
Great Chips,"Just the right kind of chips, they are crunchie, light and wonderful.<br />Great for people dieting. They are popped, not fried or baked.<br />Try them you'll enjoy them.",1,0,1
late,It has been a couple of weeks now since I ordered it and it still has not arrived. Do note expect promptness  on this item.,2,0,1
I like Maca,"I would buy this product, again, it is delicious and has at least an excellent placibo effect. However, the Spirulina I purchased was deceptively labled ""Pacifica"" TM (trademark)NOT Pacifica the type of Algae that I ordered. I did not want Placentisis and will not order it from Amazon, again-Ciao-warren",4,1,0
"lost one bag of my ""jack link's"" beef jerky","I am a regular subscriber of this ""Jack Link's"" beef jerky terriyaki. This morning, I opened the new box from Amazon and found that there are only 9 bags in the box while it supposed to be 10. I used to trust Amazon and this is the first time that I check the quantity in the box. Since the inside box is open, so someone might have taken one during the packing process because s/he loves it so much but I hate to lose one bag of my Jack Links beef jerky!!",1,0,1
