epoch,train_loss,val_loss,train_rmse,val_rmse,experiment
1,0.7625457038334438,0.6135182640075684,2605990.8157883245,1403574.8936974981,Baseline MLP
2,0.6505050063405718,0.5905130564053853,1621131.0235876574,1068432.3228690852,Baseline MLP
3,0.6110619473593576,0.5790225541114807,1506065.5257446642,952758.2154485811,Baseline MLP
4,0.5921346027646746,0.5727870961825053,1409512.8198619315,930998.7967788795,Baseline MLP
5,0.5742455124310085,0.5703840065002441,1415006.1765600538,920910.9659928262,Baseline MLP
6,0.5684682659694127,0.5651693548520406,1262087.7853320925,909262.6132524232,Baseline MLP
7,0.5659039119720459,0.56405487353007,1213295.918268158,898538.9457364851,Baseline MLP
8,0.5647885768617903,0.5646887735684712,1283784.7783234394,897114.4798282736,Baseline MLP
9,0.563753327356066,0.5615553933461507,1196747.2943342973,897523.8901230892,Baseline MLP
10,0.5637128398759025,0.5607735607147217,1296942.9147197749,894105.1381812239,Baseline MLP
11,0.564258915397099,0.5606702610651652,1324014.1327654591,901028.3540220053,Baseline MLP
12,0.561319281073979,0.5596017475128174,1253248.3880509539,898869.2705705788,Baseline MLP
13,0.5600996747902461,0.5577792229334513,1265576.1634933453,892930.1730150299,Baseline MLP
14,0.5599059437888009,0.5584341499646505,1291881.7646475476,915268.2059185813,Baseline MLP
15,0.5603648225648062,0.5573059453646342,1311364.6688210815,889513.7315985742,Baseline MLP
16,0.5596426233495985,0.561073092842102,1327786.3028320053,903932.2016964605,Baseline MLP
17,0.5584219649178641,0.5555498376528422,1256166.3088656438,893122.6692993619,Baseline MLP
18,0.5572254398618426,0.5553510425885518,1316394.5554912132,897142.6440990218,Baseline MLP
19,0.5568670907429286,0.554772128645579,1316274.5765547052,892878.6470496622,Baseline MLP
20,0.556397115625654,0.5545806861241659,1374002.8744633927,897251.7051778004,Baseline MLP
21,0.556229954787663,0.5540166435241699,1206925.8640439126,898839.2353261211,Baseline MLP
22,0.557490846647535,0.5586337171872456,1344167.7169212215,1262892.004652979,Baseline MLP
23,0.5566257948602948,0.5540593163490295,1352090.556927604,900617.5907334704,Baseline MLP
24,0.5544231880187989,0.5533327921231588,1307645.3169823654,892827.6426977979,Baseline MLP
25,0.5548481685774667,0.5523202655474345,1264165.9099458354,889654.6348039351,Baseline MLP
26,0.5548836698872702,0.5519066867510478,1318520.0071560724,892011.3347739595,Baseline MLP
27,0.5541201760019575,0.5535164527257284,1197410.6767973478,892004.7338821319,Baseline MLP
28,0.5548498459815979,0.5523224430084228,1326372.717286927,900608.5416069155,Baseline MLP
29,0.5535884837831769,0.5526163456281026,1232999.8546773605,896747.6514424479,Baseline MLP
30,0.5542036818640572,0.5523989762306213,1270682.0607160933,968148.0081061869,Baseline MLP
1,0.6918729754992894,0.5893970423698426,2181473.1887253267,984046.1816830853,Deeper MLP / Adam 1e-3
2,0.5823534395354135,0.5662704052925109,1481975.548426441,916743.3313086666,Deeper MLP / Adam 1e-3
3,0.5668627174786159,0.5646531081517537,1295164.1075458324,917037.2223648635,Deeper MLP / Adam 1e-3
4,0.5621407930101667,0.5609578411102295,1153128.226730727,911862.5223658569,Deeper MLP / Adam 1e-3
5,0.5634355707100459,0.5585816951751709,1340988.7443495067,910521.5069975951,Deeper MLP / Adam 1e-3
6,0.5642817709650312,0.5585035169283549,1284777.0906894254,914675.8295611602,Deeper MLP / Adam 1e-3
7,0.562018306514195,0.558560888894399,1334672.569229091,930201.6620410709,Deeper MLP / Adam 1e-3
8,0.5590588234901428,0.5561414780298869,1251440.2438212573,927379.3741690639,Deeper MLP / Adam 1e-3
9,0.5564044929572514,0.5559565776189168,1277017.782513576,891527.1852922679,Deeper MLP / Adam 1e-3
