dataset,architecture,implementation,epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc
comments,improved,pytorch,1,0.21393157517552375,0.17568406462669373,0.93164,0.9364761558063341,0.9261,0.931259175834121,0.9807188214
comments,improved,pytorch,2,0.1563293709051609,0.17035092413425446,0.93496,0.9320737473675845,0.9383,0.93517651045508,0.9819827527999998
comments,improved,pytorch,3,0.1358718097141385,0.17063738405704498,0.93592,0.9292579171262013,0.94368,0.9364134317694689,0.9824070161999998
comments,improved,pytorch,4,0.11988504186481237,0.17250032722949982,0.93565,0.9373556871800021,0.9337,0.9355242723310455,0.9819736362000001
comments,improved,pytorch,5,0.10695032608240843,0.1824035495519638,0.93398,0.9278868906767629,0.9411,0.9344467392167766,0.9811659850000001
comments,improved,pytorch,6,0.09605535167887806,0.1897152215242386,0.93364,0.9322395438778358,0.93526,0.9337473293264911,0.9808217629999999
comments,improved,tensorflow,1,0.21265758600473403,0.17435112595558167,0.93346,0.9407589685186691,0.92518,0.9329044488363651,0.9810876131999999
comments,improved,tensorflow,2,0.15574121160268783,0.16815274953842163,0.93598,0.9395668656234877,0.9319,0.935717728331593,0.9824268616
comments,improved,tensorflow,3,0.13523943565070629,0.17072390019893646,0.9359,0.9275876952052107,0.94562,0.9365170542328566,0.9823881738000001
comments,improved,tensorflow,4,0.11919008854150773,0.17295105755329132,0.93505,0.9318800007941708,0.93872,0.93528749489374,0.9819776436000001
comments,improved,tensorflow,5,0.10642002504229546,0.17947188019752502,0.93497,0.9341624578284391,0.9359,0.9350304217078117,0.9814274465999999
comments,improved,tensorflow,6,0.09539213586837053,0.18655280768871307,0.93304,0.9325728213529388,0.93358,0.9330761388850021,0.9805810026
