dataset,architecture,implementation,epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc
comments,basic,scratch,1,0.6482163721084595,0.5633288025856018,0.7104,0.7003046458492003,0.7356,0.7175185329691768,0.80692304
comments,basic,scratch,2,0.4344645909309387,0.3702663481235504,0.8322,0.8083921277385815,0.8708,0.8384363566339302,0.91819648
comments,basic,scratch,3,0.28413878750801086,0.32401928305625916,0.8584,0.8541501976284585,0.8644,0.8592445328031809,0.9350846399999999
comments,basic,scratch,4,0.19695223207473755,0.3160313665866852,0.866,0.8495034377387318,0.8896,0.8690894880812817,0.93982824
comments,basic,scratch,5,0.13380907051563262,0.32705724239349365,0.863,0.838240775251584,0.8996,0.8678371599459772,0.9410025599999999
comments,basic,scratch,6,0.08789298478364944,0.33463194966316223,0.8658,0.8584868678949431,0.876,0.8671550188081568,0.9404641600000001
comments,basic,scratch,7,0.05654625150561333,0.35519081354141235,0.8626,0.8493256262042389,0.8816,0.865161923454367,0.9400968000000001
comments,basic,pytorch,1,0.6482213293075562,0.5634351372718811,0.709,0.6991993900114373,0.7336,0.7159867265274253,0.80689704
comments,basic,pytorch,2,0.4344722638130188,0.36987435817718506,0.8336,0.8102678571428571,0.8712,0.8396299151888974,0.9185108799999999
comments,basic,pytorch,3,0.2836257628440857,0.32544228434562683,0.8526,0.8491089108910891,0.8576,0.8533333333333334,0.9344726400000001
comments,basic,pytorch,4,0.19725032799243927,0.31716790795326233,0.8616,0.8466257668711656,0.8832,0.8645262333594361,0.93948672
comments,basic,pytorch,5,0.13363220873475073,0.32932549715042114,0.8618,0.8381308411214953,0.8968,0.8664734299516909,0.9397755200000001
comments,basic,pytorch,6,0.08769637152552605,0.3373352587223053,0.8648,0.8559718969555035,0.8772,0.866455946266298,0.9395910399999999
comments,basic,pytorch,7,0.05652537752389908,0.3644523322582245,0.8618,0.8496327792810204,0.8792,0.8641635541576568,0.9379924000000002
comments,basic,pytorch,8,0.03533846657276154,0.3882906138896942,0.861,0.8599920223374551,0.8624,0.8611943279408828,0.9362020799999999
comments,basic,tensorflow,1,0.6380401587486267,0.5376916527748108,0.729,0.7151446824502067,0.7612,0.7374539817864755,0.83079056
comments,basic,tensorflow,2,0.4235087679862976,0.3712751567363739,0.8304,0.8052475979305248,0.8716,0.8371110257395313,0.91776064
