dataset,architecture,implementation,train_samples,validation_samples,test_samples,parameter_count,best_epoch,epochs_ran,training_seconds,learning_rate,batch_size,patience,batch_seed,initialization_file,checkpoint_file,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc,validation_confusion_matrix,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_confusion_matrix,prepared_sha256,manifest_file,timing_valid,timing_note,validation_mae,validation_rmse,validation_r2,test_mae,test_rmse,test_r2
diabetes,basic,scratch,40000,10000,10000,466,10,13,212.83967640000628,0.001,256,3,4201,E:\WINDOW\Project\intelligent-system-assignment-01\models\assignment04\initializations\diabetes_basic.npz,E:\WINDOW\Project\intelligent-system-assignment-01\models\assignment04\diabetes\basic_scratch.npz,0.539543092250824,0.7265,0.3043731778425656,0.7494615936826992,0.4329255650010367,0.8029767753604785,"[[6221, 2386], [349, 1044]]",,,,,,,,8d4f24fa05d4cf326324f81b2e76956485f684db32845e382ccc35029ddaf0e5,results\assignment04\manifests\diabetes.json,True,measured wall time,,,,,,
diabetes,basic,pytorch,40000,10000,10000,466,10,13,59.988485400012,0.001,256,3,4201,E:\WINDOW\Project\intelligent-system-assignment-01\models\assignment04\initializations\diabetes_basic.npz,E:\WINDOW\Project\intelligent-system-assignment-01\models\assignment04\diabetes\basic_pytorch.npz,0.5394359230995178,0.7261,0.3037900874635568,0.7480258435032304,0.4320962056811113,0.8030656861128493,"[[6219, 2388], [351, 1042]]",,,,,,,,8d4f24fa05d4cf326324f81b2e76956485f684db32845e382ccc35029ddaf0e5,results\assignment04\manifests\diabetes.json,True,measured wall time,,,,,,
diabetes,basic,tensorflow,40000,10000,10000,466,10,13,29.02887199999532,0.001,256,3,4201,E:\WINDOW\Project\intelligent-system-assignment-01\models\assignment04\initializations\diabetes_basic.npz,E:\WINDOW\Project\intelligent-system-assignment-01\models\assignment04\diabetes\basic_tensorflow.npz,0.5395304560661316,0.7252,0.3036800927267459,0.7523330940416367,0.4327002477291494,0.8029736893399928,"[[6204, 2403], [345, 1048]]",,,,,,,,8d4f24fa05d4cf326324f81b2e76956485f684db32845e382ccc35029ddaf0e5,results\assignment04\manifests\diabetes.json,True,measured wall time,,,,,,
diabetes,improved,scratch,40000,10000,10000,2562,7,10,640.7133735999814,0.001,256,3,4201,E:\WINDOW\Project\intelligent-system-assignment-01\models\assignment04\initializations\diabetes_improved.npz,E:\WINDOW\Project\intelligent-system-assignment-01\models\assignment04\diabetes\improved_scratch.npz,0.5353235602378845,0.7743,0.3417582417582417,0.6697774587221823,0.452583070579675,0.8165927981790144,"[[6810, 1797], [460, 933]]",0.5404974818229675,0.7753,0.3413818722139673,0.659727207465901,0.449938800489596,0.8147311354695435,"[[6834, 1773], [474, 919]]",8d4f24fa05d4cf326324f81b2e76956485f684db32845e382ccc35029ddaf0e5,results\assignment04\manifests\diabetes.json,True,measured wall time,,,,,,
diabetes,improved,pytorch,40000,10000,10000,2562,7,10,95.78346929998952,0.001,256,3,4201,E:\WINDOW\Project\intelligent-system-assignment-01\models\assignment04\initializations\diabetes_improved.npz,E:\WINDOW\Project\intelligent-system-assignment-01\models\assignment04\diabetes\improved_pytorch.npz,0.5342985987663269,0.7745,0.3427007299270073,0.6740847092605886,0.4543914831841277,0.8167703694658791,"[[6806, 1801], [454, 939]]",0.5394465923309326,0.7752,0.341842397336293,0.6633165829145728,0.451171875,0.8148095787740507,"[[6828, 1779], [469, 924]]",8d4f24fa05d4cf326324f81b2e76956485f684db32845e382ccc35029ddaf0e5,results\assignment04\manifests\diabetes.json,True,measured wall time,,,,,,
diabetes,improved,tensorflow,40000,10000,10000,2562,10,13,86.20244079999975,0.001,256,3,4201,E:\WINDOW\Project\intelligent-system-assignment-01\models\assignment04\initializations\diabetes_improved.npz,E:\WINDOW\Project\intelligent-system-assignment-01\models\assignment04\diabetes\improved_tensorflow.npz,0.5317919254302979,0.775,0.3430977663859392,0.6726489590811199,0.4544131910766246,0.8184750621603761,"[[6813, 1794], [456, 937]]",0.5369393825531006,0.7753,0.3426676492262343,0.6676238334529792,0.4528853177501826,0.8159144575138803,"[[6823, 1784], [463, 930]]",8d4f24fa05d4cf326324f81b2e76956485f684db32845e382ccc35029ddaf0e5,results\assignment04\manifests\diabetes.json,True,measured wall time,,,,,,
house,basic,scratch,40000,10000,10000,1153,7,10,165.1434851999802,0.001,256,3,4202,E:\WINDOW\Project\intelligent-system-assignment-01\models\assignment04\initializations\house_basic.npz,E:\WINDOW\Project\intelligent-system-assignment-01\models\assignment04\house\basic_scratch.npz,0.583200216293335,,,,,,,,,,,,,,cae66275afae95b1ac140773de6abf0a99e691d69a73ac658acf56c26b562e19,results\assignment04\manifests\house.json,True,measured wall time,264113.90625,905522.337305933,0.2191569805145263,,,
house,basic,pytorch,40000,10000,10000,1153,7,10,58.174077699979534,0.001,256,3,4202,E:\WINDOW\Project\intelligent-system-assignment-01\models\assignment04\initializations\house_basic.npz,E:\WINDOW\Project\intelligent-system-assignment-01\models\assignment04\house\basic_pytorch.npz,0.5831868052482605,,,,,,,,,,,,,,cae66275afae95b1ac140773de6abf0a99e691d69a73ac658acf56c26b562e19,results\assignment04\manifests\house.json,True,measured wall time,263975.4375,906250.1965528064,0.2179011702537536,,,
house,basic,tensorflow,40000,10000,10000,1153,8,11,56.5133600999834,0.001,256,3,4202,E:\WINDOW\Project\intelligent-system-assignment-01\models\assignment04\initializations\house_basic.npz,E:\WINDOW\Project\intelligent-system-assignment-01\models\assignment04\house\basic_tensorflow.npz,0.5792585611343384,,,,,,,,,,,,,,cae66275afae95b1ac140773de6abf0a99e691d69a73ac658acf56c26b562e19,results\assignment04\manifests\house.json,True,measured wall time,263311.0,904995.3758290702,0.2200654745101928,,,
house,improved,scratch,40000,10000,10000,3249,4,7,250.7944130999968,0.001,256,3,4202,E:\WINDOW\Project\intelligent-system-assignment-01\models\assignment04\initializations\house_improved.npz,E:\WINDOW\Project\intelligent-system-assignment-01\models\assignment04\house\improved_scratch.npz,0.5697781443595886,,,,,,,0.6147308349609375,,,,,,,cae66275afae95b1ac140773de6abf0a99e691d69a73ac658acf56c26b562e19,results\assignment04\manifests\house.json,True,measured wall time,261321.1875,900359.0605352955,0.228036344051361,282060.3125,1063024.1482261822,0.2672178745269775
house,improved,pytorch,40000,10000,10000,3249,4,7,25.533897100016475,0.001,256,3,4202,E:\WINDOW\Project\intelligent-system-assignment-01\models\assignment04\initializations\house_improved.npz,E:\WINDOW\Project\intelligent-system-assignment-01\models\assignment04\house\improved_pytorch.npz,0.5710991024971008,,,,,,,0.6162509918212891,,,,,,,cae66275afae95b1ac140773de6abf0a99e691d69a73ac658acf56c26b562e19,results\assignment04\manifests\house.json,True,measured wall time,261521.65625,899229.1070022144,0.2299727201461792,282328.4375,1063062.6174595738,0.2671648263931274
house,improved,tensorflow,40000,10000,10000,3249,7,10,34.06805339999846,0.001,256,3,4202,E:\WINDOW\Project\intelligent-system-assignment-01\models\assignment04\initializations\house_improved.npz,E:\WINDOW\Project\intelligent-system-assignment-01\models\assignment04\house\improved_tensorflow.npz,0.5596826076507568,,,,,,,0.6042941212654114,,,,,,,cae66275afae95b1ac140773de6abf0a99e691d69a73ac658acf56c26b562e19,results\assignment04\manifests\house.json,True,measured wall time,256557.984375,908514.4610582708,0.213988184928894,279610.75,1090907.287426388,0.2282719016075134
